shocking,"触目惊心的,令人震惊的,可怕的"
shoplift,"動詞,冒充顧客在商店內偷竊"
shopworn,"記,商店,用舊的,在商店中陳列,舊了的,失去光澤的,參,從商店中偷商品,反,新的,在商店中陳列舊了,或壞了,的,陳舊的,陳腐的"
shoulder,"承擔,來自肩膀,解,肩膀是用來,擔,重物的,引申為,承擔,常與,責任,並用責任的固定搭配動詞承擔逃避"
sibilant,"記象聲詞,發出呲呲聲的,類,呲呲作聲是呲呲的嗡嗡作聲是單調的,作聲的,語齒擦音"
sickness,"疾病,不健康,嘔吐"
sidelong,NotFoundAnyMeanings
sidereal,"記,旁邊是真的當你眼冒金星是金星是假的旁邊的東西是真的,恆星的,類,樹木的對樹木恆星的對恆星河流的對河流感情的對感情,恆星的"
sideshow,"記,旁邊的表演,不重要的表演,穿插表演,穿插表演,在馬戲表演中的附加提供的小表演,附屬事件,參,極度可笑的,使人的肚子,邊上都,裂了,雜耍,穿插表演,附屬事件"
sidestep,"尤指透過開始談論別的事情迴避某個話題,演講者藉口說回答要很長時間而迴避了這個問題"
sideways,"形容詞,斜,向一邊的,向旁邊的,副詞,斜,向一邊,向旁邊"
silently,"安靜地,沈默地"
simulate,"動詞,模擬,模仿,偽裝"
sinecure,"工作清閑而報酬豐厚的掛名差事,閑職,罪孽,有罪惡感的"
singular,"形容詞,單數的,獨個的,名詞,單數"
situated,"形容詞,位於,的,坐落在,的"
skeleton,"骨骼,瘦如柴的人,梗概,骨幹,脈絡,概略的,基層的,家庭秘密的,骨幹的"
skillful,"形容詞,有技術的,熟練的"
skirmish,"記,讀迷失,裙子丟了會引起夫妻之間的小口角,小戰斗,小口角,類,小口角不重要決斗正式,小沖突,進行一場小沖突"
slant--0,"看待問題,思考的角度,看法,傾斜的,歪曲事實等"
sleeping,"睡眠,睡著的"
slightly,"輕微地,稍稍細長,苗條,微小"
slippage,"記源于,滑,從紙上滑下來,滑動,滑動,類,壓艙物消除不穩定防滑支點消除滑動趨勢,滑動,滑移,滑程"
slipshod,"馬虎草率的,邋遢的,不修邊幅的反,謹小慎微的,勤勉的"
sloth--0,"對工作,懶惰類放蕩的缺乏抑製偷懶的缺乏刻苦反,工業,勤奮"
slothful,"懶惰的,從樹懶,的動作緩慢而來"
slovenly,"衣著或外表,不整潔的,邋遢的類放縱的不是附著的不修邊幅的不是衣冠楚楚的反,整齊的,整潔的,整潔的,整齊的,整潔的"
slowness,"緩慢,遲鈍"
sluggard,"記,蛞蝓,一種行動緩慢的虫,象蝸牛,懶惰鬼,懶鬼,類,流氓是為害的懶鬼是懶惰的,作為名詞沒有貶義,偷懶者,懶鬼,游手好閑的人"
smacking,"活潑的,發出大的聲音的,精力充沛的摑"
smallest,最少
smoothly,"平滑的,光滑的,平坦的,的衍生的副詞"
snarl--0,"頭發或絲綢等,糾纏,使,局面等,混亂類免除責任消除責備松開消除糾纏反,解脫,解開糾結"
sneaking,"記,鬼鬼祟祟的做,源于,爬,秘密不公開的,偷偷摸摸的,參,鬼鬼祟祟的人,區,竊笑,偷偷逃走的,不爭氣的,內心里的,卑鄙的"
snobbish,"記,勢利的人,崇拜,有錢人,勢利眼的,諂上欺下的,假充紳士的,過分優雅的,類,過分關心的是多管閑事的過分優雅的是假充紳士的過分入迷的是,全神貫注的,勢利的"
sober--0,"在酒精或藥品方面,有節製的,清醒的,行為,性格,嚴肅莊重的反,淘氣的,惡作劇的,輕佻的"
sobriety,"節酒,節制,一本正經,莊重"
sociable,NotFoundAnyMeanings
socially,"在社會上,在社交上,親切地"
soldiers,"士兵,軍人"
solecism,"記,單獨的,唯一的,一個人生活在森林裡,比如人猿泰山,不懂語法和禮節,文法錯誤,舉止失禮,文法錯誤,舉止失禮,語法錯誤,謬誤,失禮"
solicits,NotFoundAnyMeanings
solidify,"團結,使充實,使鞏固,使穩固,他發表談話表明支持該條約的立場,進一步強調了他信守條約的承諾"
solitude,"名詞,孤獨,隱居"
solution,"解決,解決方法,溶解,溶液"
someones,NotFoundAnyMeanings
somtimes,NotFoundAnyMeanings
soothing,"感到慰藉的,使人寬心的"
sounding,"測量水深,探針診斷"
souvenir,"名詞,紀念品,紀念物"
spacious,"形容詞,寬敞的,廣闊的"
sparring,"拳擊,爭鬥"
spartans,NotFoundAnyMeanings
speaking,"談話,演說,講話的,適於說的,象要開口似的"
specific,"特效藥,特性,特殊的,明確的,具有特效的,特定的,具體的"
specimen,"標本,用以化驗的,抽樣"
spectral,"幽靈的,譜的,光譜的"
spectrum,"系列,幅度,范围,光谱,科频谱"
speed-up,促進某事的發生
spending,"開銷,花費"
spinning,"紡織,旋轉"
spiny--0,"記源于,脊椎,刺,表面,多刺的,事情,棘手的,參,沒骨氣的,無脊椎的,多刺的,反,平滑的,多剌的,剌狀的"
spirited,"活潑的,生氣勃勃的,猛烈的,用以構成複合詞,有,精神的,情緒,的,心地,的"
spiteful,"心懷叵測的,惡意的,惡意中傷的流言,說話尖酸刻薄"
splendid,"光亮的,了不起的,燦爛的,壯麗的,顯著的,傑出的"
splendor,"名詞,光輝,壯觀,輝煌"
splinter,"碎片,尖片,刺,微小的東西,劈開,使,破裂"
splutter,急切而不清楚地說
sportive,"爱玩的,爱好运动的"
sprinkle,"灑,散置,撒,點綴,灑,下小雨灑,散置,小雨,少量"
spurious,"本質上或起源上,假的,偽造的,私生的反,真正的"
spurn--0,"踢開,拒斥,踢到一旁,冷落,踐踏,唾棄,藐視,摒棄"
squabble,"由瑣事而引發的,爭吵,程度大于,小于,和,類,爭吵對小爭吵缺點對小缺點爭吵對小爭吵,爭論"
squander,"浪費,揮霍參,南瓜,壓扁,壓榨,類監考者監考揮霍者揮霍,虛度時間揮霍金錢反,節儉,保存"
squirrel,"松鼠,松鼠的毛皮,貯藏以備用"
staccato,"記,從中間斷開是,和,長得差不多,而且,結尾是意大利語,表示音樂,斷音的,斷奏的,音樂,斷音的,斷奏的,聲音斷斷序序的,斷奏,斷唱"
stagnant,"不流動的,停滯的,不景氣的,蕭條的,汙濁的,遲鈍的"
stale--0,"尿,不新鮮的,陳腐的,疲倦的,陳舊的,使變舊,走味,變陳舊,變無味"
stalling,耽誤
stamping,沖件
standard,"標準,水準,水平,規格,規範,規定,旗幟,標準的,一般的"
standing,"身分,地位,名望,站立的,常設的,持久的,長期的,正規的,律提起訴訟的資格,提起訴訟權"
stark--0,"僵硬的,完全的,刻板的,明顯的,荒涼的,結實的,實在,簡直,全然"
starting,"開始,開動"
statuary,"雕像,雕像藝術,雕像家,雕像的,雕像用的"
stealthy,"秘密的,掩人耳目的,鬼鬼祟祟的"
steeping,NotFoundAnyMeanings
sticking,"現在分詞,細長,棒,棒,枝木"
stickler,"記,堅持己見,棍,粘住,堅持,毫不屈服地堅持細節之人,參,粘的,粘性的,類,講究細節的人不會大約不嚴密純粹主義者不會摻假,堅持己見的人,困難的問題"
stimulus,"名詞,刺激,刺激品,興奮劑"
stinking,"發惡臭的,爛醉如泥的,非常討厭的"
stint--0,"節省,限制,停止,節約吝惜,節約,限制"
stockade,"記,存貨,樹干,進攻性,有進攻性的木頭,柵欄,柵欄,防御性護欄,參,矮壯的,健壯結實的,像樹干一樣,類,柵欄用來包圍柱子用來支撐,柵欄,圍起處,用柵欄圍住"
stopping,NotFoundAnyMeanings
stowaway,"記,裝載,隱藏,到遠處,藏于輪船,飛機中的,無票偷乘者,類,走私者逃稅偷乘者逃交通費,偷渡者,匿身處"
straight,"直的,挺直的,正直的,直率的,整齊的,有條理的,筆直地,對直地,正直地,俚習俗的,正統的,持正統習俗觀念的,異性愛的,不吸毒品者,固守習俗觀念的人,異性愛者"
stranded,"常用以構成復合詞,股的,多股的"
strategy,"名詞,策略,計謀"
straying,誤闖
strength,"力量,力氣,實力,強度,濃度,人數,抵抗力"
strew--0,"散布,充滿,散播"
striated,"記,有條紋的,加條紋,條紋,讀,街道的,沒有此詞,條紋的,有條紋的,類,用凹線劃成條紋狀用股編成辮狀用點畫成點狀,點刻用點加條紋用線,有條紋的,有細條的,有線紋的"
strictly,"嚴厲地,嚴格地,嚴密地"
strident,"刺耳的,尖厲的,措詞強硬的,咄咄逼人的"
striking,"顯著的,突出的,引人注目的,容貌出眾的"
strip--0,"長條,條狀,帶,脫衣舞,脫衣,被剝去,剝奪,拆卸,脫衣服"
stripped,喪失的
strongly,"堅固地,堅強地,激烈地"
struggle,"鬥爭,戰鬥,掙紮,努力,掙紮鬥爭,奮鬥"
stubborn,"難以處理的,棘手的,固執的,頑固的"
stultify,"使無效,使失效或消弱,使愚蠢反,刺激,抑止的,興奮的,激動的"
stunning,"形美得驚人的,令人震驚的"
stunt--0,"阻礙,發育,妨礙,生長,作驚人表演,使絕招,發育遲緩,矮小的人,或物,驚人表演,絕技"
submerge,"使浸水,使陷入,淹沒,潛入水中"
subpoena,"法律,傳票,用傳票,傳訊"
subtlety,"細微,精細,巧妙,灱巧,詭詐細微的巫別等"
subtract,"減去,扣掉,減少,作減法"
suddenly,"意外地,忽然,冷不防"
suffused,NotFoundAnyMeanings
suggests,建議
suitable,"形容詞,適當的,合適的,適宜的"
suitably,"合適地,適當地,相配地"
suitcase,"名詞,小型旅行箱,手提箱"
sulfuric,"化正硫的,含六價硫的"
sunlight,"日光,阳光"
superior,"優良的,卓越的,高級的,較,多,優於,的,上層的,上級的上級,長官"
supplied,"有,提供的,備有,的"
supports,NotFoundAnyMeanings
surprise,"驚奇,吃驚,偷襲,奇襲,使驚奇,使感到意外,奇襲"
surround,"動詞,圍,圍繞,名詞,圍繞物"
surveyor,"記,檢查,測量,下面,看向下看,檢查,測量,測量員,測量員,檢查員"
suspense,"懸疑,不安,懸而未決的狀態"
swear--0,"發誓,宣誓,咒罵,使宣誓,發誓,詛咒詛咒,誓言"
switches,開關
sybarite,"記源于,錫巴裡斯,古希臘城市,曾因其富饒與奢靡而著名,儀式,整天在酒吧裡面看儀式,奢侈糜爛的人,奢侈逸樂的人,反,節儉的人,禁欲者,縱情逸樂之徒"
syllabus,"教學綱要,課文,演講或研究課題的要點的概要或提綱,類旅行行程安排旅行教學大綱安排課程會議議程安排會議"
symbolic,"象徵性的,象徵手法的,象徵派的"
sympathy,"同情,贊同,同感,慰問,吊唁"
symphony,"交響樂,交響曲,美,交響樂團"
symptoms,症狀
syndrome,"並發症狀,綜合症,同時存在的事物"
tactical,"策略性的,謀略性的,這是一種策略性的投票"
talented,"形容詞,有天才的,有才幹的"
talisman,"記,惡毒,惡毒的男人要戴護身符,帶來超自然力量或保護的,避邪物,護身符,參,報複,反,惡毒,返回惡毒,報複,類,護身符是一種物品咒語是一種話,護身符,辟邪物,能產生奇跡的東西,法寶"
tangible,"通過觸摸可以感知的類最初的不是實現的切實的不是模糊的臨死的死的反,無法理解的"
tapestry,"記,磁帶,努力把磁帶中的帶子編織成掛毯,織有顏色鮮艷,有各種圖案或風景的,掛毯,類,明暗法對比金銀絲工藝精細織錦複雜是錯誤選項,織錦,挂毯,編織錦或織畫,用挂毯裝飾"
taunting,"嘲弄的,譏笑的"
teaching,"教学,教义,教学,教导"
temerity,"魯莽,不考慮危險的愚蠢行為,類活潑的不冷漠魯莽的不膽小反,細心,慎重,膽怯,謹慎靠近"
tendency,"傾向,趨勢,脾性,癖好"
tenet--0,"信條,主義,教義,宗旨,原則"
tepid--0,"微溫的,溫熱的,不太熱烈的,不熱情的,貼皮溫膚"
terminal,"末端的,終點的,每期的,末期的,晚期的,末端,終點,端子,線接頭,終點站,自終端,設備"
terminus,"終點,終點站,英,界限,地點"
thematic,"詞幹的,題目的,主題的,論題的"
thinking,"形容詞,思想的,有理性的,好思考的,名詞,思想,思考,意見,想法"
thorough,"徹底的,詳盡的,非常精確的,不厭其煩的,徹頭徹尾的,絕對的"
thoughts,思維
ticklish,"記源于,胳肢,使發痒,小棍,樂用小棍使你樂,使發痒,怕痒的,棘手的,參,記事本,使人發痒的人,類,順從容易被影響易怒的容易被冒犯,反,沉著冷靜的,易痒的,不穩定的,難對付的,忌諱的"
timeworn,"記,時間,用舊的,陳舊的,陳舊的,長期使用或磨損的,老一套的,參,及時的,類,陳腐的不新奇曲折的不直接,反,小說,新奇的,陳舊的,老朽的"
timidity,"膽怯,反,厚顏無恥的行為,膽怯"
tireless,"不疲倦的,不厭倦的,不屈不撓的"
tiresome,"使人疲勞的,令人厭倦"
together,"共同,一起,集合地,相互,彼此,同時,連續,美俚鎮定自若的,協調的,和諧的,精明的"
tolerant,"容許的,容忍的,忍耐的,忍受的"
tonic--0,"恢複或增加身體強壯的,補品,滋補的,刺激的類解毒劑用來解除毒補藥用來解除困乏補藥用來激發麻醉劑用來麻醉有助于的就是激發激勵的就是鼓舞反,衰弱的"
tract--0,"拉,引,吸引,抓地力,拉力,曳引機,收縮,減損,攻訐者,令人分心的事務,節錄,抽取,難以管理的,長時間的,拖延的,收回,減,扣除"
tranquil,"平靜的,安寧的,平靜,安靜"
transfer,"遷移,移動,傳遞,轉讓,轉移,過戶,匯兌,換車,轉移,調轉,調任,改變,傳遞"
transmit,"傳送,傳輸,轉送,傳達,遺傳,發射,傳播,發射信號,發報"
traverse,"橫貫,橫木,障礙,否認,反駁,橫過,穿過,經過,詳細研究,反對"
travesty,"對人或文學作品等的滑稽模仿,拙劣的模仿,歪曲,曲解"
treasury,"名詞,金庫,庫房,國庫,寶庫"
treating,對待
treeless,無樹木的
trespass,"動詞,擅自進入,侵入,名詞,擅自進入,非法侵入"
tribunal,"名詞,法庭,法官席,裁決,公斷"
trickery,"記源于,詭計,欺騙,騙子,魔術師,欺騙,詭計,欺騙"
trifling,"不重要的,微不足道的,無聊的"
troubles,"煩惱,憂慮"
truncate,"把,某物,截短類截短長度簡化複雜性最小化成分反,延長,拖延,戰利品,獎品,用戰利品裝飾,授予,獎品"
trusting,"信任的,信賴的,參,可信賴的,類,過分服從的是奴性的過分信任的是易受騙的,信任的,信賴的"
truthful,"誠實的,報告記述等,真實的"
turncoat,"記,翻轉,衣服變成叛徒,變節者,叛徒,類,頑固者不會寬容笨蛋不會睿智隱士不會同情變節者不會一致,反,不屈不撓,背叛者,變節者"
twisting,"扭轉,扭轉的,扭轉"
ultimate,"終極,根本,頂點,基本原理,終極的,根本的,極限的,最遠的,最後的,最大的"
unbiased,"沒有偏見的反,有傾向的,有偏見的"
uncommon,"不尋常的,不凡的,罕有的,非常地"
under--0,"在,之下,少於,低於,在,保護下,按照,遵照,正在受到"
underbid,"出較低的價錢,投標低於他人,以低價提供,喊價過低,叫牌過低"
undercut,"削弱,通貨膨脹,購買力,例,衍,字面上是,從下方砍,樹,引申為,削弱,用法等同於"
underdog,"處於劣勢的人,事,物"
undue--0,"不適當的,過度的,未到期的"
undulate,"波動起伏,使成波浪形參,豐富的,中間的,形容麥浪滾滾"
unfasten,"解開,放松"
unfit--0,"不適當的,不勝任的,不健全的,使不相宜,使不合格"
ungainly,"重要,笨拙的,開頭,源,原意是,不合適所以,笨拙,解,注意,是形容詞不是副詞,而,是名詞不是副詞,靈巧"
universe,"宇宙,星系,思想等範圍"
univocal,"單義的,意義明確的,記法一個人的聲音很清楚"
unjustly,"不義地,不公平地"
unlawful,"非法的,私生的"
unlikely,"不太可能的,不太有希望的"
unsettle,"攪亂,使動搖,使不安定,動亂不定,離開固定位置"
unstable,"不穩固的,不牢靠的"
unsteady,"不安定的,不穩的,搖晃的"
untapped,"未經開發,採,的,是,酒桶的,塞子,表示酒桶未開封,引申為尚未開發的"
untilled,NotFoundAnyMeanings
untimely,"不到時候的,不適時的,不合時宜的,過早地,不合時宜地"
untiring,"不疲倦的,不懈的,不屈不撓的"
untoward,"不幸的反,有利的,有利且在期望中的,幸運的,吉兆的"
unwanted,"形容詞,不需要的,無用的,多餘的"
unwonted,"不尋常的,並非習慣性的,反,習慣,不尋常的行為,平常的"
unworthy,"不值得的,不足取的"
upheaval,"動亂,大變動,地殼的,隆起"
urgently,"緊急的,急迫的,的衍生的副詞"
vagrancy,"流浪,漂泊,記,走,遷徙,流浪,參,流浪者"
valorous,"勇敢的,記,力量,人,形容人很有力量英勇"
vanguard,"前沿某事物的,前衛,軍隊"
vaporize,"使汽化,使蒸發,手術過程中,醫生有時會使用雷射光束來汽化毛細血管"
vaporous,"蒸汽的,模糊不清的,空想的,記,水蒸氣,水蒸氣很多,會模糊不清,引申為,空幻幻想"
variance,"不一致,變化,變異,變遷,分歧,不和"
vascular,"解動脈管的,有脈管的,血管的"
vaunting,"吹噓的,傲慢的,自吹自擂"
vehement,"感情或觀點強烈的,激烈的"
vehicles,汽車
velocity,"名詞,迅速,快速,野兔像鳥一樣快速掠去,速度,速率,光速大約是每秒十八萬六千英里"
venal--0,"貪污的,用金錢買得的,賄賂的,貪贓枉法的"
venality,"貪汙,腐敗,貪污的,可原諒的"
vendetta,"尤指族間或血親間的,仇殺,世仇"
venerate,"崇敬,敬仰類可敬的人被尊敬可鄙的人被鄙視反,使蒙羞,輕視,輕蔑"
vengeful,"報復的,報仇心理的,類,報復的,報仇的"
verbally,"言詞上,口頭地,照字面地作為動詞"
verbatim,"逐字的,照字面的,記,言語,每一個字都很重要,所以要,逐字,記錄"
verbiage,"多廢話,多冗詞,冗長,措辭"
verified,"檢驗的,核實的,反,未被證實的"
verse--0,"詩,韻文,詩句,用詩表達,作詩"
vertical,"形容詞,垂直的,豎的,名詞,垂直線,垂直面"
vexation,"煩惱,苦惱,令人惱火之事"
vibrancy,"振動,振響,記,振動的,振響的"
vicinity,"接近,鄰近,附近地區,近處"
vigilant,"機警的,警惕的類,謹慎的不易被騙挑剔的不易被滿足警覺的不易中埋伏反,懶散的,遺忘的"
vignette,"在書或書的章節的首尾處或頁邊上的,小裝飾圖案,簡潔的小品文,電影中的小插曲,類,小裝飾圖案是一種圖案小幽默劇是一種戲劇"
violated,違反
violence,"猛烈,兇暴,暴力,殘暴"
violenty,NotFoundAnyMeanings
virtuoso,"各領領域的大師,原指藝術大師,衍,例,神童,解,原指,藝術大師,特別指音樂上,也可泛指各領領域的一流能手"
virtuous,"善良的,有道德的,貞潔的,有效力的"
virulent,"有毒的,記,用,病毒,來記,此字另外從字面上,帶有,病,毒的,引申為,帶有惡意,傷害,的"
vitality,"活力,生命力,生動性"
vitalize,"賦予,生命,給予,活力,字根,活的"
vocalist,"歌手,尤指流行樂隊的主唱,她贏得了葛萊美最佳女歌手獎"
vocation,"天職,神召,工作,職業,對特定職業的秉性,才能"
volition,"意志,決斷力,意志,行為產物"
voracity,"貪婪,記,吞食,吃東西喜歡用吞的貪婪"
wardrobe,"衣櫃,英,衣物,集合名詞,不可數"
warranty,"正当,理由,合理,根据,授权,担保,保证,根据"
wasteful,"浪費的,揮霍的,耗費的"
watchful,"注意的,警戒的,警醒的"
wavering,"搖擺不定,猶豫不決"
weakened,減弱
weakness,"虛弱,軟弱,疲軟,薄弱,缺點,弱點"
well-lit,光線充足的
wield--0,"揮舞,劍等,使用,工具等,行使,權力,施加,影響"
wildness,"野生,野蠻,粗暴"
withdraw,"撤回,取回,撤消,使撤退,拉開,移開,撤退,離開"
withered,"枯萎的,凋谢的,憔悴"
withhold,"壓住,壓制,抑制,押住,扣住,收回"
workable,"可採用的,行得通的"
worn-out,"磨破的,磨損的,穿舊的,疲憊不堪的"
wrangler,"記,爭論,放牧,牛仔,錯誤的天使,原來是放牛的,爭論者,牛仔,類,牛仔用套索牧羊者用牧杖,爭論者"
wretched,"可憐的,不幸的,卑鄙的,骯臟的"
wringing,"搥胸頓足,搓手"
wrinkled,長滿皺紋的
yearn--0,"動詞,思念,渴望,嚮往"
yearning,"渴念,熱念,熱望的,渴望的,懷念的,向往的"
yielding,"順從的,生產的,易變形的,柔順的"
youthful,"形容詞,年輕的,富青春活力的"
zealotry,"狂熱行為,反,缺乏熱情,狂熱行為"
abatement,"減少,減輕,緩和"
abilities,的復數
abjure--0,"發誓放棄,氣絕,記法,離開,發誓,發誓放棄"
abolition,"記看到,就要知道是名詞,廢除,特指廢除奴隸製度,例,廢止奴隸製,源字源於動詞,廢除,反,堅持奴隸製,廢除,廢除奴隸制度"
abominate,"痛恨,因凶兆而,厭惡例,痛恨罪惡根遠離,兆頭因凶兆而厭惡讀,暴民,兆頭,吃暴民把你的飯都吃了痛恨,厭惡,炸彈,吃吃了一個炸彈痛恨參,不吉的,凶險的,反,尊敬"
abundance,"豐富,充裕,豐富充裕"
abusively,NotFoundAnyMeanings
accede--0,"答應,同意,繼承,加入"
accepting,接受
accessory,"形容詞,附加的,附屬的,名詞,附件,配件,從犯"
acclimate,"記朝向,氣候適應氣候使服水土,使服水土,使適應,一新的環境或條件,例,水稻已能適應這兒的環境,反,不習慣,使適應新環境,使服水土,服水土,適應"
accompany,"伴隨,陪伴,陪同,伴奏,為,伴奏"
according,"相符的,和諧的,相應的"
accrue--0,"透過自然增長產生,形成,隨年齡俱增的智慧,利息等的自然孳生,增加,按日生息"
accuse--0,"指責,指控,控告,控訴"
acidulous,"記酸,多,的稍酸的,稍有酸味的,刻薄的,脾氣壞的,性情乖僻的,例,刻薄的諷刺,多少帶酸味的,不悅的"
acquiring,"取得,養成"
acumen--0,"敏銳,明智,判斷或洞察力快速,準確,例,我的營業本領使我非常成功類敏捷和敏銳的聰明和精明的反,不能識別"
adhere--0,"粘附,胶着,坚持,坚持"
adherence,"名堅持,固守,忠誠,黏附"
adjoining,"同義字詞,毗鄰的,鄰近的"
admirable,"可欽佩的,優良的,令人驚奇的"
admirably,"極好地,美好地"
admission,"接納,准許進入,招收,招生,入場,入學,入場券"
admitting,承認
adoration,"崇拜,崇敬,敬慕,仰慕"
adroit--0,"通常是在緊迫條件下,熟練的,靈巧的例,熟練的網球手根一再,正確的一再正確熟練的參,笨拙的,熟練地,機敏地"
adulation,"奉承,源,尾隨,在別人之後的,奉承者,衍,例,瘋狂追隨者,唯唯諾諾的人,記用,成人,來記,相較於孩子,成人才會,奉承,比,字形相像的字,摻雜質"
adumbrate,"畫輪廓,預示,蔽蔭,遮蔽在,上投下陰影"
advantage,"長處,好處,優點,優勢,利益,有利條件"
adversity,"逆境,不幸,厄運,身處逆境時,她也從不垂頭喪氣"
advertise,"做廣告,登廣告,發告示,宣傳,宣揚"
advisable,"形容詞,可取的,明智的,適當的"
advocates,"提倡者,擁護者"
affection,"友愛,愛情,影響,疾病,傾向"
affidavit,"美律宣誓書,經陳訴者宣誓在法律上可采作証據的書面陳述,根一再,相信讓人一再相信的東西宣誓書,讀我非得為她,我非得為她去死宣誓書,參,不忠,背叛,自信,類,宣誓書是一種陳述結婚儀式是一種儀式,美律宣誓書,經陳訴者宣誓在法律上可采作証據的,書面陳述"
affiliate,"接納,使附屬,交往,與,有關"
affirm--0,"堅稱,聲明,斷言,確認"
affluence,"豐富,富裕,流入"
afterward,"副詞,之後,以後,後來"
aggressor,"侵略者,侵略國,攻擊者"
agitation,"攪動,鼓動,煽動,激動,騷動,焦慮"
agreeable,"適意的,愉快的,一致的,符合的,適合的"
agreeably,"愜意地,令人愉快地"
aimlessly,"漫無目的地,無目標地"
alabaster,"記,原指雪花石膏,一種不透明的,白色或淺色的紋理細密的石膏,後引申為,雪白的,一個,實驗室,讀愛死它一個實驗室中生產出來的讓人愛不釋手的東西雪花石膏因為,將其磨成粉后可製成增白粉蜜,特別受黑哥,黑妹的喜愛,雪白的,雪花石膏,雪花石膏制的"
albeit--0,"雖然,儘管"
alcoholic,"形容詞,含酒精的,酗酒的,名詞,酒鬼"
allowance,"允許,考慮,津貼,餘地,體諒,限額,限量,折扣"
alternate,"交互的,輪流的,輪流,使,交替"
aluminium,"鋁,號元素,符號,化鋁,鋁的"
amazement,"驚奇,驚異,驚訝"
ambiguity,"名詞,意義不明確,模稜兩可的話"
ambiguous,"含糊其詞的,可作多種解釋的,類含糊的不清晰虛假的不真實含糊的不容易理解顯眼的不容易忽視"
ambrosial,食物或者氣味特別美味的
amendment,"修正案,改正,修補,改善"
amorously,NotFoundAnyMeanings
amounting,"總數,總額"
amphibian,"記,兩方,生命,兩方都有生命兩棲動物,兩棲動物,皮膚光滑的冷血脊椎動物,水陸兩用飛行器,根,兩方,生命,兩方都有生命兩棲動物,讀俺,讀肺,拼變俺肺變我的肺可以變成腮兩棲動物,類,有可能是迷惑,小鷹是一種鳥青蛙是一種兩棲動物小羊是一種哺乳動物,兩棲類的,水陸兩用的,兩棲動物,水陸兩用飛機,水陸兩用的平底車輛"
amplitude,"廣闊,丰富,振幅,物理學名詞"
amusement,"娛樂,樂趣娛樂活動,文娛活動"
amusingly,NotFoundAnyMeanings
anaerobic,"記非,不,空氣不需空氣的厭氧的,特指微生物,厭氧的,參,厭氧微生物可在無氧環境下生存的一種有機體,反,活在氧氣中的,呼吸,需要氧氣的,微沒有空氣而能生活的,厭氧性的"
analgesia,"無痛覺,痛覺喪失,記,無,不,痛"
analgesic,"鎮痛劑,止痛的,字根,痛"
anarchist,"記無,不,統治,人不喜統治的人無政府主義者,無政府主義者,類,無政府主義者的特征是反叛辯論者的特征是辯護,無政府主義者不要政府廢奴主義者不要奴隸製,無政府主義者"
animation,"動畫片,卡通片,動畫製作"
annals--0,"編年史,歷史,歷史記載,年報"
announces,宣布
annoyance,"名詞,惱怒,打擾,討厭的東西,或人"
anoint--0,"拔擢,軟膏,衍,解,常用於,評論者做評論,或,上位者對屬下的欽點,的上下文中"
anonymous,"無記錄,作者不詳的,佚名的,無名的"
another's,NotFoundAnyMeanings
another’s,NotFoundAnyMeanings
antarctic,"南极的,地理,南极地带的,南极洲,南极地区"
antiguity,古老
antiquity,"古老,年代久遠,尤指中世紀前流傳下來的,古代古跡,古物古代的風俗習慣古人們"
