shocking,"触目惊心的,令人震惊的,可怕的"
apocrypha,"偽經,不足憑信或作者不明的書,源原指新約外傳由七十個人翻譯的拉丁語聖經中的十四卷,由于不是希伯來聖經的一部分而沒有被新教接受為經典,所以稱之為偽經但是羅馬天主教經典接受了其中的十一卷並將其收入杜埃版聖經根,遠離,隱藏,神秘的,隱藏的,遠非珍藏之物偽經,遠離,哭遠遠的哭因為買了偽經,當著大家的面哭太沒面子了反,正經"
apogee--0,"最高點,源,源指天文學上的,遠地點,因為星球離離地球最遠時看起來最高,故為,最高點,衍,反義字,近地點,最低點,字源來來自"
apologize,"賠禮,道歉,認錯"
appall--0,"動詞,使驚恐,使厭惡"
apparatus,"運動器械,器具,儀器機極,組織器官"
appealing,"吸引人的,哀訴似的,懇求似的"
appearing,吸引人的
appeasing,安撫
appetizer,"開胃的食物,開胃小吃"
applicant,"申請人,應徵者"
arabesque,"記阿拉伯,缺阿拉伯特別缺水所以他們用蔓藤圖飾來求雨阿拉伯式圖飾,阿拉伯式圖飾,一種複雜的裝飾性的設計,由花,葉及幾何圖案纏繞在一起,又叫蔓藤花紋,阿拉伯式圖飾,蔓藤花紋"
arbitrate,"記判斷,仲裁,公斷,以仲裁人的方式判決或判斷,例,資方與勞工同意仲裁調停他們尚存的分歧,作出公斷"
arboretum,"植物園,為科學,教育及裝飾目而大量種植植物的地方,根樹,表場所種樹的地方植物園,類,植物園有樹供觀賞鳥舍有鳥供觀賞,不確定,雀類鳥植物園樹木,樹園,植物園"
arcane--0,"神秘的,不可思議的,深奧難懂的"
archetype,"記,原始的,形狀原型,拱,形拱形未出生的嬰兒在媽媽肚子中的形狀就是拱形的,這就是人的原型俗話說人之初,性本善其實,嬰兒們都是我們學習的榜樣典型例子,弓箭手,形狀想象人頭馬的標誌,找一種原始模型的感覺,其實人馬星座就是源於古老的神話,原型,原始模型,典型,最完美的榜樣,原型"
architect,"建築師,設計者,造物主"
ardent--0,"熱心的,熱情洋溢的,激烈的,燃燒般的"
arguments,論點
armistice,"記憶打仗,是,讀替死,打仗就是做替死鬼譬如本拉登手下的聖戰者所以我們倡導任何人都不要再為戰爭而活,為戰爭而死我們要求全球范圍的休戰,停戰,打仗的人,冰士兵都變成冰棍了,只好停戰了,軍隊出錯了停戰,休戰,停戰,經雙方同意暫時停止戰斗,根武器,停止武器停止使用停戰,停戰,休戰"
arrest--0,"阻礙,阻止,逮捕,拘留,抑制,吸引,引人注目"
arresting,"引人注意的,可觀的,可觀的,引人注意的,給人深刻印象的,例,一座引人注意的雕塑,類,炫耀的引人注意討厭的令人厭惡,反,平凡的,老一套的"
arrogance,"傲慢態度,自大類,吝嗇的不揮霍謙恭的不傲慢,傲慢不服從疲倦不激動"
arthritis,"記藝術家,炎症藝術家得的炎症藝術家得的炎症以畫家為例,整天一動不動,畫一動不動的東西不僅在屋裡一動不動,還到山裡,風好大,一動不動這種人能不得關節炎嗎,關節炎,由於關節發炎而導致的疼痛和腫脹,根連結,關節,炎症關節炎,關節炎"
artifacts,"人工製品,手工藝品,加工品"
ascertain,"查明,確定,由事實查明,如通過檢查或試驗,例,我們必須了解當地人民的風俗習慣根朝向,肯定的朝向肯定確定"
asparagus,"蘆筍,龍須菜,一種植物,可作蔬菜或入藥,植蘆筍"
assent--0,"同意,贊成,字根,感覺"
assent   ,NotFoundAnyMeanings
assigning,指定設備
associate,"使發生聯系,使聯合,把,聯想起來,交往,結交合夥人,同事,副的"
assurance,"保證,擔保,自信,把握"
assure--0,"使確信,使放心,向,保証,對,進行保險"
astrolabe,"記星,實驗室在實驗室中用的星盤,星盤,用來測量太陽或其它天體的高度,現已被六分儀取代,類,星盤是航海工具濾器是烹調工具,古代的天體觀測儀,星盤"
astrology,"記星,學科占星學,參,天文學,占星術,以觀測天象來預卜人間事務的一種方術,類,占星術是假天文學煉金術是假化學,占星朮,占星學,以觀測天象來預卜人間事務的一種方朮"
astute--0,"敏銳的,精明的,記法形近,敏銳的,機敏的"
asymmetry,"不均勻,不稱,不對稱"
athletics,"名詞,運動,體育,課"
atrocious,"極其殘忍的,凶惡的例,殘暴的罪行根凶殘類凶惡的是非常壞極為重要的是非常重要"
attaching,"附屬的,附上,依戀,愛慕"
attacking,攻擊
attention,"注意,注意力,關心,關注"
attentive,"聚精會神的,照顧周到的"
attitudes,"可數名詞,態度,意見,看法,莉像母親一般對待這個中國女孩,姿勢,美俚敵視態度,變化形,名複,同義字,態度,意見,看法"
audacious,"大膽的,無謂的,愚勇的,大膽"
austerity,"樸素,節儉,苦行,嚴肅,嚴峻,酸澀"
authentic,"可信的,真實的,可靠的"
authority,"權,權力,職權,權限,當局,官方,權威"
authorize,"授權與,批准,委託代替"
automatic,"自動機械,自動的,無意識的,機械的"
available,"形容詞,可用的,可得到的,有效的"
avalanche,"記讀愛挖爛車西藏可以致富,就連雪崩都是致富的手段有這么一種人特別愛挖爛車去賣錢,雪崩過後就蜂擁而至所以千萬不要開車去拉薩,機場已經建好啦,否則賠了夫人又折車,雪崩,山崩,大塊雪或岩石沿著山坡下滑的現象,例,雪片般飛來的信件,雪崩,雪崩"
avenge--0,"為,報仇,例,他下決心要替父親報仇,根報複參,複仇,複仇,為,報復,報仇"
averse--0,"嫌惡的,反感的,反對的,不樂意的"
awareness,"知道的,察覺的,的衍生的名詞"
awkwardly,"笨拙地,困难地,难看地,尴尬地"
axiomatic,"理所當然的,想當然的"
backslide,"記向後,滑向後滑故態複萌,故態複萌,尤指在宗教中,恢複到罪惡或錯誤上,例,我擔心最近他又故態複萌了,倒退,倒退"
bacterium,"細菌,複數"
baffle--0,"使困惑,使為難,用混淆的方法迷惑或阻止某人作某事,例,這個謎使我困惑,我們成功地阻止了敵人的進攻"
ballerina,"芭蕾舞女演員,尤指女主角,根芭蕾,女,芭蕾舞女"
ballooned,激增
banter--0,"善意地取笑,逗弄,善意的與人開玩笑,記法絆他"
barbarous,"記,倒刺,尖刻話,多身上長滿魚鉤倒刺並且喜歡嚴厲批評別人的人我只能說這種人太野蠻了,太殘暴了,讀叭叭兩個清脆的大嘴巴殘暴的,爸爸多只有可能有一個親爸,別的都是后爸,特殘暴,野蠻的,未開化的,文化和習慣原始的,沒有教養的,殘暴的,例,他受到他們極為殘暴的待遇,野蠻的,殘暴的,粗野的,聲音,刺耳的,沙啞的"
barefaced,"不隱瞞的,公然的,厚顏無恥的,不戴面具的反,秘密的"
barometer,"气象,气压计,晴雨表,显示变化的事物"
barricade,"動詞,設置路障,擋住,名詞,路障,障礙物"
battalion,"記,讀扶他林主治扭傷,拉傷,挫傷和各種關節肌肉疼痛,不僅是劉旋等奧運選手指定用藥,也是營裡最不可貨缺的良藥扶你,扶我,扶他林,打,他,獅子有一只打他的獅子,咱得報仇,一個人打不了獅子,最好是一群人,並且有武裝一個營的人估計夠了,營,大隊,軍隊單位,包含一個指揮部,多個班,連等下屬單位,軍營,軍隊"
beautiful,"美麗的,美好的,極好的"
beginning,"開端,開始,起源"
believing,有信仰的
belonging,"附屬品,攜帶物品,財產"
benignity,"溫和,仁慈,善舉,善行"
betray--0,"出賣,背叛,辜負,暴露"
betraying,"背叛,出賣,對,不忠"
bifurcate,"分兩半,源,分岔成二,衍"
bilingual,"記兩個,語言兩種語言的,能熟練地使用兩種語言的,尤指同樣流利地,字典,書,兩種語言對照的,例,雙解詞典,參,語言學,能說兩種語言的"
biosphere,"記生命,球,圈生物圈,生命層,生物圈,地球及其大氣中能夠維持生命的部分,例,海洋生物圈,參,大氣層,半球,生物圈"
blackmail,"記黑,信寄黑信敲詐,黑函,也叫敲詐函,通過揭露犯罪行為或提供不可信資料威脅強索錢財之物,敲詐,勒索,例,這個人想訛詐職員迫使他幫他取錢,勒索,勒索所得之款,勒索"
blasphemy,"褻瀆,玷污上帝或神靈的行為,言語,態度或文字,尤指宣稱自己具有上帝的特點和權利的行為,參,褻瀆神明的,現象,奇跡,類"
blight--0,"損害,源,最早指農業上,作物疾病,後引申為,不良的影響,從名詞轉成動詞用,記,太刺眼,的光線會損害,眼睛"
blithe--0,"無憂的,歡樂的,快活的"
blueprint,"藍圖,設計圖,周詳的,計劃,製成藍圖,計劃"
bodyguard,"保鑣,侍衛,護花使者"
bombastic,"夸大的,言過其實的例,那個候選人在大肆吹噓反,說話保守地,謙遜的"
bounds--0,"邊界,分界線,界限,範圍"
bountiful,"慷慨给予的,丰富的,充裕的"
brazen--0,"黃銅的,厚顏無恥的例,他們不愿承認失敗,寧肯厚著臉皮干下去參,火盆,黃銅匠,類厚顏無恥的特點是厚臉皮的無表情的特點是冷漠的"
bridle--0,"馬勒,繩,上籠頭,昂首,表傲慢,憤怒等,抑制,欲望"
brilliant,"光輝的,燦爛的,卓越的,才華橫溢的"
broadcast,"廣播,廣播節目,廣播的,廣播,經廣播,四散地,網絡上所有結點都能接收到的一種數據包"
buildings,"房屋,建築物"
bumptious,"盲目自夸的,盲目自大的,傲慢的,記混合了,碰撞,專橫的,喜歡頂撞的專橫的人傲慢的,傲慢的,自夸的,例,對下級態度傲慢,類,嚴厲的不親切沖動的不猶豫傲慢的不謙遜"
burlesque,"諷刺或滑稽的戲劇,以一種不和諧的方式看待事物,使其顯得滑稽可笑的文學或戲劇作品,比如用丑陋來表達高尚或者給一個微不足道的人以虛假的高位顯爵,脫衣舞,類,打油詩是一種諷刺詩諷刺劇是一種諷刺劇"
butterfly,"動蝴蝶,蝶泳"
byline--0,"列作者名字的,報刊文章開頭或結尾"
bypass--0,"動詞,繞過,加設旁道,旁管,名詞,旁道,旁通管,分流術"
byproduct,"記旁邊,副的,產品副產品,副作用,副產品,在製作生產另外一種東西時附帶產生的東西,副作用,附帶的結果,副產品"
bystander,"記旁邊,站立者站在旁邊的人旁觀者,旁觀者,局外人,看熱鬧的人,處于發生的現場但沒有參與,看熱鬧的人,旁觀者"
byzantine,"拜占庭式的,像迷宮似的複雜的,詭計多端的,源原指拜占庭,風格公元世紀在拜占庭帝國發展起來的建築風格,特征是在建築物表面上大量裝飾,特別是在大理石上鏤出紋理,塑出低度浮雕以及用彩色玻璃鑲嵌這種風格在設計上注重形式,其形狀多為正面的,大量使用顏料,尤其是金黃色,通常以宗教為主題,反,簡單的,直接的"
cajole--0,"用甜言蜜語哄騙,用溫和的懇求諂媚來騙人,例,勾引她很難參,甜言蜜語,誘騙,諂媚,類甜言蜜語用于哄騙障礙物用于阻擋"
calibrate,"量,口徑,校準,通過與一標準比較而確定,例,使投票過程標準化參,口徑,品德,才能,測徑器,雙腳規"
cancerous,"癌的,像癌的,癌細胞,步步擴散的"
candidacy,"候選人的資格,源原指穿白衣服的人古羅馬尋求得到官職的人,候選人,所穿的就是白色寬外袍,類,廢除法律取消候選人資格,候選人的地位,候選資格"
candidate,"候選人,職位,申請人,應徵者"
canine--0,"解剖犬齒,犬的,似犬的,犬科的,犬齒的"
canonical,"牧師禮服,法服,依教規的,規範的,被認為聖典的,權威的,典型的"
capillary,"記頭,病頭得病,比如腦血栓,就是血管堵塞的結果,毛細血管,特點是很細,毛細管,毛狀的,毛細作用的"
captivate,"迷惑,吸引,類,吸引人的"
carefully,"小心謹慎地,仔細地"
carnality,肉慾
carpenter,"記吹毛求疵,進入進門時吹毛求疵因為他是木匠,看看門做的好不好,木匠,例,諺什么木匠出什么活,類,分類學家擅長分類木匠擅長建造,鋸是木匠的工具剪刀是裁縫的工具刀是屠夫的工具,木匠"
castigate,"嚴厲懲治,強烈譴責反,贊美,奉承"
catharsis,"記讀卡撒,布蘭卡,一首淨化心靈的情歌,精神的發泄,通過解除自我壓抑和恐懼而緩解緊張和焦慮的方法,感情,受藝術的作用而,淨化,通便,根使淨化,參,瀉藥,淨化肚子瀉藥,醫導瀉,尤指通便,瀉法,精神病,精神或心理,疏泄,宣泄"
cathedral,"記椅子有主教座位的總教堂,貓,他,讀桌貓和他站在桌子前講經大教堂,有主教座位的,總教堂,權威性的,大教堂"
cauterize,"記讀烤他,表動作用烙鐵烤他,燒灼,用腐蝕性物質或烙鐵燒灼表皮組織,目的是消毒或止血,燒灼,烙,使麻木不仁"
celebrity,"名人,名流,名聲,知名"
celestial,"天體的,天空的,天體,地球的,陸地的"
centurion,"記,世紀,一百個,離子統治一百個離子百夫長,百夫長,古羅馬的軍官,他指揮百人戰斗,百人隊長,百夫長,古羅馬的軍官,指揮百人"
certainty,"肯定,確信,有把握,一定,必然"
cessation,"中止,短暫的,中斷,例,停戰,根停止,割讓,讓步,作出讓步或割讓土地后,司法權就中止了,反,堅定不移,開始,動身,開始,停止"
challenge,"挑戰,盤問,向,挑戰,要求,懷疑,挑戰,反對"
chameleon,"變色龍,一種變色蜥蜴,反複無常的人類魚類學家研究,魚爬虫學家研究變色龍"
chaperone,"陪伴,監護人"
character,"字元,字,性格,品質,特性,特徵,人物,角色"
charlatan,"江湖郎中,騙子,對自己的技術或知識夸大其辭的人,源原指大吹大擂推銷商品的人,喋喋不休,類印度神克利須那神像的特征是碾碎江湖騙子的特征是行騙"
chemicals,"化學藥品,化學製劑,化學製品"
cherished,"受喜愛的,珍愛的"
chicanery,"詭計,強詞奪理例,玩卑鄙手段類文雅的不笨拙誠實的不狡詐狡詐的人是聰明的不老練的人是誠實的"
chromatic,"色彩的,有顏色的,彩色的,根顏色,參,彩電顯像管,反,無色的,彩色的"
circulate,"使,迴圈,使,流通,使,流傳,散佈,傳播"
clamor--0,"喧鬧,叫嚷,大聲的要求,喧嚷,大聲的要求"
clearness,NotFoundAnyMeanings
clergy--0,"聖職人員,牧師,神父等,牧師的,神父的,例,衍"
clientele,"總稱,顧客,律師,建築師等的,所有委託人"
climactic,"高潮的,頂點的,導致高潮的,參,高潮,頂點,頂點的,漸層法的,高潮的"
clique--0,"記讀科,裡,缺這種小集團在國家機關的科裡向來不缺,朋黨派系,小集團,小范圍的,排外的朋友或同事,例,財閥,金融集團,類,小集團由密友形成羊群由羊形成,私黨,小圈子,派系,閥,結黨"
coagulant,"記一起,作做到一起凝結計,凝結劑,引起液體或血液凝結的媒介,參,使凝結,共事者,類,抗生素防止感染凝血劑防止流血,凝結劑使變濃使凝結溶劑使溶解,凝結劑,凝血劑"
coagulate,"使凝結,使凝固,醬汁變冷後凝固了"
coalition,"同盟,聯合,記法,共同成長"
coddle--0,"嬌養,溺愛,煮蛋嬌生慣養的人,寶貝子弟,嬌養小孩的人"
codify--0,"將法律,規則編成法典,類"
coerce--0,"強製,通過威脅,恐嚇,強製,使你按某種方法行動或思考,強製地支配或控製例,我靠強迫手段得到了我想要的東西類用甜言蜜語騙使用甜言蜜語敲詐使用強迫"
cogent--0,"論據,有說服力的,使人信服的,無法反駁的,參,說服力,中肯,類使人信服的使人信服令人討厭的使人討厭反,不足以令人相信的"
cognizant,"與連用,認識的,知曉的,例,她知道真相,根認識,類,無知不會是有見識的貧困不會是富裕的,反,遺忘的,不知道的,沒覺察到的,認知的"
coherence,"記,粘著,凝結,緊湊,共同,粘粘在一起,一致性,連貫性,各部分間邏輯有序的,完美的一致,凝聚性,參,連貫的,一致的,粘著的,結合,凝聚,類,脫節的不連貫陳腐的不新,一致"
coin-like,NotFoundAnyMeanings
collected,"記收集,被動把所有的不安因素收集到內心深處沉著冷靜的,泰然自若的,沉著冷靜的,收集成的,收集成的,冷靜的,鎮定的"
collision,"相撞,衝突,抵觸"
colonnade,"柱廊,類,柱廊由柱子組成隊列由人員組成,柱廊"
combative,"好戰的,殺氣騰騰的,鬥志旺盛的"
combining,"使聯合,兼有"
comity--0,"禮貌,禮儀反,敵意,憎恨"
commenary,評論
commingle,"記共同,使混合,攙和,混合,混合"
committed,"對事業,本職工作等,盡忠的例,我是一名有獻身精神的老師類"
commodity,"日用品,商品,有用的物品"
commotion,"記共同,運動,共同運動動亂,騷動,公民的,暴動,例,民變,參,動機,提升,增加,類,狂叫是一種騷亂閃光是一種照明,反,寧靜,騷動,暴亂"
companion,"朋友,陪伴,指南手冊,升降口,陪伴"
comparing,比較
compel--0,"推動,強迫,脅迫,迫使"
competent,"能幹的,勝任的,有權能的,足夠的"
complaint,"抱怨,訴苦,抱怨,怨言,申訴,控告,疾病"
compliant,"順從的,傾向于或愿意遵從的,參,柔順的,懇求的,服從,聽從"
complying,"對要求,命令等依從,順從,遵從"
component,"組件,組成部分,分,分量,元件,組成的,合成的"
composure,"鎮靜沉著,自我克製類謹慎的人謹慎鎮靜的人鎮靜沉悶的使人失去精力擾亂的使人失去鎮靜"
concerned,"掛慮的,擔心的,有關的,參與的,關心的"
concerted,"記源于音樂會是需要很多演奏家配合的,商定的,共同計劃完成的,互相配合的,例,采取一致行動,反,單獨設計的,商議定的,協定的,樂協調的"
concludes,總結
condition,"條件,狀況,情況,地位,調節,制約,以,為條件"
confer--0,"討論,商談,贈與,記法,共同,帶來,提出問題共同討論"
confirmed,"被証實的,根深蒂固的,固定的"
conflicts,衝突
confusing,"令人困惑的,難懂的"
confusion,"混亂,混淆,無秩序"
congruous,"一致的,符合的,數全等的"
connected,"形容詞,有關連的,連在一起的"
conquered,"征服,克服"
conscious,"有意識的,自覺的,有意識的,神志清醒的"
conscript,"強行征兵參,指示,命令,處方,聖經,聖書,類,傳票召証人征兵召士兵自動移居和強行驅逐自動從軍和強行征兵"
consensus,"一致同意,多數人的意見,輿論"
constrict,"壓縮,束緊,使收縮,壓縮"
construct,"構造,建造,想出,作圖構成物"
contented,"滿足的,知足的,滿意的"
continent,"大陸,洲,自製的,克制的"
continues,"繼續,持續"
contrived,"顯然是精心設計好的,矯揉造作的,類,精心設計好的設計,人為的,做作的"
converted,轉換過的
convinced,"確信的,有堅定信仰的"
cooperate,"合作,協作,事物,配合"
copiously,豐富地
corporate,"全體的,團體的,公司的,法人的"
corporeal,"記軀體,真的軀體有形的,肉體的,肉體的,物質的,有形的,反,精神的,無形的,無實質的,非實質的,肉體的,人體化的,肉體的,物質的,有形的"
corpuscle,"記軀體,小東西軀體裡的小東西細胞,孤立活細胞,如血球細胞,淋巴細胞,微粒,如光子,電子,血球,物理微粒"
corrected,改正過的
corroding,"侵蝕,損害"
corrugate,"記共同,皺紋,使起皺,共同,小地毯,吃在小地毯上吃飯,屁股肯定比較扎,所以就老動,然后小地毯就起皺了,使,起波浪形,使,起皺紋,參,內臟的皺紋,多皺的,成皺,皺狀,弄皺,起皺,使,成波狀"
costly--0,"形容詞,昂貴的,代價高的"
courteous,"形容詞,有禮貌的"
craven--0,"懦弱的,畏縮的,懦夫,類,懦夫是懦弱的易受騙者是輕信的,懦弱的不是英勇的易變的不是不變的永久的不是不穩定的"
creatures,"生物,动物,的名词复数,人"
crescendo,"記成長,上升,表示音樂音樂漸強,漸強,在一個樂段中音量或聲音的強度逐漸增強,高潮,逐步增強至強度,力量或音量的最高點,參,新月,月牙,逐漸增加的,類,聲音漸強是加強聲音加速是加快速度,反,聲音減弱,聲音漸增"
criterion,"批評判斷的,標准,准據,規范"
criticism,"名詞,批評,評論"
criticize,"動詞,批評,批判,苛求"
crudeness,NotFoundAnyMeanings
cryogenic,"記,致冷劑,冷凍,產生製冷劑,哭,產生哭的時候會消耗大量的熱能,所以哭完了就會產生一種冷的感覺,所謂哭得發抖就是這個道理,低溫的,需要或適合,低溫存儲的,低溫學的"
culminate,"到達頂端,衍,解,常指事情的發展到達頂峰,最精彩的部分"
cultivate,"動詞,栽培,作物等,養殖,魚等,培育"
curiosity,"好奇心,求知慾,引起激發滿足某人的好奇心,奇品,珍品,新奇罕有的事物,像我擁有的這種車如今實屬罕見了"
curiously,"奇怪的是,說來古怪,好奇地"
currently,"當前,普通地,通常地,現在"
custodian,"保管人,監護人,公共建築看守"
customary,"習慣的,慣常的,原來的"
cynically,"愛嘲笑地,冷笑式地"
dabble--0,"玩水,潑濺,涉獵,濺濕"
damper--0,"愛挑毛病的人,譏誚話,增濕器,阻尼器"
dangerous,"危險的,不安全的,招致危險的"
daredevil,"魯莽大膽的,人,類大膽者大膽不滿者不滿魯莽的人不會謹慎傻子不會有聰敏"
dearth--0,"缺乏,短缺,尤指飢荒,反,充斥,過剩,多血症,充分,大水,很多的,豐富的"
debunk--0,"揭穿,的真面目,證明,為假"
deceitful,"騙人的,欺詐的,虛假的,誤導的"
deceiving,欺騙
deception,"欺騙,欺詐,隱瞞,他騙取錢財的罪名被判成立"
deciduous,"非永久的,短暫的,脫落的,落葉的"
decimated,元氣大傷
declivity,"下坡,倾斜"
decompose,"使某物,變壞,腐爛"
decorated,"裝飾,打扮,粉刷,授予獎章表揚"
dedicated,"專用於,的,專注的,致力的"
deduce--0,"推論,推斷,推理,演繹"
deduct--0,"動詞,扣除,減除"
deduction,"減除,扣除,減除額,推論,演繹"
deductive,"推論的,推斷的"
defeating,擊敗
defeatist,"失敗主義者,對失敗無可奈何的接受,類,堅持細節者是苛刻的失敗主義者是聽天由命的,失敗主義者"
defendant,"記,保護,保護自己被告,參考,原告,被告,被告,辯護的,為自己辯護的"
deficient,"有缺點的,有缺陷的缺乏的,不足的"
defuse--0,"從,爆破裝置,中卸載引信,緩和緊張狀態或危急局面"
dehydrate,"記去掉,水脫水,脫水,除去水分,脫水保存,通過使,蔬菜等,脫水來保存,參,水龍頭,無水的,類,解毒去除毒素脫水去除水,脫水減少水衰退減少精力褪色減少亮度,使,脫水"
delirious,"精神錯亂的,極度亢奮的"
delivered,包括交貨費用在內的
delude--0,"欺騙,迷惑,蠱惑"
demagogue,"煽動政治家,尤指利用情緒或偏見煽動民眾,以期獲得領導地位及達到私人目的的人"
demean--0,"羞辱,貶低,全家人都因他的行為而蒙羞"
demise--0,"死亡,君權的轉移或授與,讓位,禪讓,讓渡,遺贈,轉讓"
departing,"出發,離開"
departure,"離開,出發,違背,偏離,發射"
dependent,"形容詞,依靠的,依賴的,名詞,受撫養者"
depict--0,"動詞,描畫,雕出,描述"
depicting,描繪
depletion,"名詞,消耗,用盡"
depravity,"記下,壞向下變壞墮落,是人性被剝奪的結果,墮落,道德敗壞,參,墮落的,邪惡的,剝奪,類,消沉缺乏活力墮落缺乏美德,墮落"
depredate,"掠夺,劫掠"
depressed,"形容詞,沮喪的,消沈的,憂鬱的,使沮喪,的過去式及過去分詞"
depresses,NotFoundAnyMeanings
deride--0,"嘲笑,輕蔑地,源,衍,例"
descry--0,"遠遠看到,通過仔細觀察,發現,辨別,很難察覺的東西,區,譴責,大聲疾呼,剝奪"
desecrate,"記壞,神聖破壞神聖褻瀆,壞,色,板條箱破壞裝有神物的五顏六色的板條箱褻瀆,玷污,把神物供俗用,褻瀆,參,用作祭祀,使神聖,反,尊崇,尊敬,使,神聖,褻瀆,污辱,把,神物,供俗用"
deserving,"該受的,值得,的,有功的功過,賞罰"
desiccate,"使完全幹燥,脫水,幹燥貯存食物,枯燥的,乏味的"
designate,"指定,任命,指明,指出,已受委派尚未上任的"
desirable,"稱心的,中意的,理想的,希望的"
despot--0,"專制君主,暴君,史,拜占庭皇帝及其家屬的名譽稱號,后來其家臣也使用"
despotism,"同,獨裁,專制,專制政治"
destroyed,"破壞,的過去式和過去分詞,毀滅,消滅,殺死"
desuetude,"記不,適合不適合廢止,參,適當的,不,不用,廢止,不用,廢止,不用"
detect--0,"察覺,發覺,偵查,探測,對,檢波"
detergent,"形容詞,去垢的,使潔淨的,名詞,洗潔劑,洗衣粉"
determine,"決定,決心,確定,限定,測定,使決定,決定,決心"
detest--0,"憎惡,痛恨,嫌惡"
detour--0,"彎路,繞行的路一條代替幹道的臨時使用的路"
devastate,"摧殘,蹂躪,壓垮"
developed,"形容詞,國家,地區,發達的,先進的,成熟的"
deviating,偏離
deviation,"偏離,出軌,背棄"
deviously,"彎曲地,狡猾的"
devoid--0,"缺乏的,沒有的,缺乏幽默的世界"
dexterity,"純熟,靈巧,右邊的,熟練的"
dictum--0,"記說,權威性的正式的,聲明,格言,格言,律,法官的附帶意見"
different,"不同的,差異的,後接,一般用法"
differing,NotFoundAnyMeanings
difficult,"形容詞,指任務需要精力或技術的"
digestion,"名詞,消化,知識等的,領悟,吸收"
dignified,"有威嚴的,顯貴的,高貴的"
diligence,"名詞,勤勉,勤奮"
dilute--0,"冲淡,变淡,变弱,稀释,淡的,弱的,稀释的"
dimension,"尺寸,次元,容積,維數,表出尺寸"
diplomacy,"外交,外交手腕,權謀"
direction,"方向,方位,用法說明,說明書,管理,指導,指揮"
discarded,被丟棄的
discharge,"卸,流出,排出,放,發射,釋放,解雇,使免除,使卸脫卸貨,流出,排出,放電"
discovery,"發現,發覺,被發現的事物"
disengage,"使自由,解放,解開,脫離,斷絕關系"
disfigure,"記,外形,輪廓,圖形,數字,毀壞,的面容或外形,使變丑,損傷外貌,使變丑"
dishonest,"不诚实的,不老实的,不正直的"
disinfect,"記,傳染,感染,殺菌,消毒,使帶病菌的微生物無法生長,參,殺菌劑,用高溫,輻射或化學藥劑,類,油可以潤滑殺菌劑可以消毒,防腐劑消毒麻醉劑使麻木,消毒"
dismantle,"拆除,的設備,分解,去除覆蓋物"
dismay--0,"沮喪,驚慌,使沮喪,使驚慌"
disparity,"不平等,不等同,差異,正在加劇的貧富懸殊"
dispel--0,"消除恐懼,掃除疑慮,打消錯誤念頭,我想在演講的開頭先澄清一些近期流傳的謠言"
dispersed,"被驅散的,散布的,類,凝塊被溶解人群被驅散,被驅散的,被分散的,散布的"
displease,"動詞,使不高興,得罪"
disrepute,"名聲,壞名聲,不光彩名聲"
dissenter,"不同意者,反對者,非國教派的人"
dissolute,"記消除,溶解了的,精力被溶解了的放蕩的,不,獨身不是獨身的放蕩的,放蕩的,無節製的,缺少道德限製並沉溺于性快樂中,區,可溶解的,類,放縱者是放蕩的奉承者是逢迎的,放蕩的,風流的,肆意揮霍的"
dissolved,"被溶解的,被解散的,類,凝塊被溶解人群被驅散"
disturbed,"扰乱的,为心理失常者而设的,干扰"
diversity,"多樣化,人在種族,民族,宗教等方面的,多樣性分歧"
divert--0,"使某事物從一條道路或方向轉向,轉移,的注意力,娛樂把注意力從煩惱上轉移開"
docile--0,"聽話的,容易教的,馴良的,溫順的"
dominance,"優勢,支配地位,控制力"
dominated,"中等的,中等木"
drenching,濕透
