shocking,"触目惊心的,令人震惊的,可怕的"
dyspepsia,"記不良,消化,病一消化不良,不良,百事可樂,病可樂喝多了消化不良,消化不良,醫消化不良,胃弱"
dyspeptic,"消化不良的,郁悶的,反,親切的,快樂的,醫,消化不良的,胃弱的,患胃病的,消化不良的人"
eagerness,"渴望,殷切,熱忱"
earnestly,"認真地,熱心地,正經地"
easygoing,"脾氣隨和的,溫和的,不慌不忙的"
eavesdrop,"記,屋檐,滴,在屋檐滴水的地方偷聽,偷聽,竊聽,偷偷地聽別人的談話,類,偷聽是偷偷聽別人談話侵入是偷偷進入別人領地尾隨是偷偷跟隨,串通是不好的合作偷聽是不好的聽,偷聽,屋檐水"
eccentric,"形容詞,人,行為等,古怪的,名詞,古怪的人"
ecologist,"生態學家,生態學者"
education,"教育,教育學,訓練,培養"
efface--0,"抹去,擦掉,消除,整個國家都曾試圖將那段獨裁歷史從記憶中抹去"
effective,"有效的,生效的,給人印象深刻的"
effluvium,"氣味,惡臭,廢料,記,向外,流動,惡臭,向外面擴散流動"
effulgent,"燦爛耀眼的,根閃耀,流流光異彩,參,光輝燦爛,類,無用的無用燦爛的燦爛"
elaborate,"精細的,詳盡的,精心的,詳細地說明,用心地製作,推敲,變復雜"
elated--0,"興高采烈的,喜氣洋洋的,歡欣鼓舞的,據報道,王子喜得千金"
elicit--0,"引出,抽出,引起,誘答出"
eliciting,引發
eliminate,"除去,排除,剔除,消除"
elocution,"演說術,在演講中強調風度,用詞和表達的藝術,演講的風格,根說,參,累贅的陳述,多話的,雄辯朮,演說法"
embarrass,"使困窘,使局促不安,阻礙"
embody--0,"具體表達,使具體化,包含,收錄"
embroider,"記,刺繡,英國恩寶,曾經是曼聯的運動服贊助商,其標志使兩個嵌套的菱形,各大商場均有銷售,這個東西就是刺繡在衣服上的,刺繡,用針錢活裝飾,渲染,參,刺繡品,類,在布上刺繡在金屬上雕鏤,刺繡,鑲邊,裝飾,給,添油加醋,繡花"
emollient,"潤膚劑,軟化和緩和皮膚的藥,參,平息,使柔軟,類,緩和劑用來緩和發電機用來發電,潤膚劑有柔軟作用干燥劑有干燥作用"
emotional,"情緒化的,激動的,情緒的,感情的"
emphasize,"強調,加強語氣,著重"
empowered,"經過授權的,形容詞"
enamel--0,"記出,名想出名容易先把一口牙作上水晶烤瓷,北京平均價元顆,再涂上指甲油,琺琅,牙表面的硬的鈣質層,瓷漆,在金屬,玻璃或瓷器上不透明的,保護性或裝飾性的覆蓋層,指甲油,類,琺琅是牙齒的表面樹皮是樹的表面,琺琅,瓷釉,指甲油,涂以瓷釉,彩飾"
enchanted,"陶醉的,著了魔的,入迷的,施過魔法的,施魔法,使入迷"
encomiast,讚美者
encompass,"包圍,環繞,包含或包括某事物"
encounter,"動詞,遭遇,敵人,遇到,困難,危險等,名詞,遭遇,衝突"
encourage,"鼓勵,支援,激勵"
endearing,"記,昂貴的,親愛的,惹人喜愛的,參,親愛,鐘愛,引起愛情的,可愛的,令人鐘愛的"
endurance,"名詞,忍耐,耐久力"
endure--0,"忍受,忍耐,容忍,持久,持續,忍受,忍耐"
energetic,"精力旺盛的,精神飽滿的"
enigma--0,"難以解釋的事物,謎,記法,難以理解的"
enigmatic,"謎一般的,難以捉摸的參,謎,不可思議的東西,類,高深莫測的過分單純化的反,清楚的,廣泛知道的,廣泛接受的,易懂的"
enlighten,"授予,知識,啟發,啟蒙,開導,教導"
enmity--0,"根深蒂固的,相互的,敵意,仇恨,區,友好,親善,我家的大花貓阿瞇反,同志之愛,友情,禮讓,禮儀,團結,和諧一致,和睦"
enrapture,"記,全神貫注,興高采烈,使狂喜,極高興的,使狂喜,反,狂喜的,冷漠的,使狂喜"
entail--0,"使必需,使蒙受,使承擔,遺傳給限定繼承權"
entangled,被纏住的
entice--0,"誘騙,引誘,慫恿"
entity--0,"實體,獨立存在體,實際存在物"
enumerate,"記,數量,數字,列舉,枚舉,逐一清點,決定數目的多少,列舉"
enunciate,"發音,準確,系統,清楚地,表達,闡述參,宣布,通告,譴責,發音,闡明,類,發音是說詞語描繪是畫線條"
epidermis,"記在,外,皮膚表皮,植物或動物的一層保護性,表皮,外胚層,參,皮膚病學,類,哺乳動物和表皮針葉樹和樹皮,生表皮,上皮"
equate--0,"動詞,用符號表示某種關係,等同"
equipment,"裝備,設備品,才能"
eradicate,"根除,撲滅,根絕,消滅"
errand--0,"差使,差事,跑腿,當差"
errant--0,"錯誤的,偏離適宜軌跡或標準的,漫無目的的,為尋求冒險經歷而漂流,游蕩的,類誤入歧途的偏離正道異端邪說的偏離教條無定型的偏離形狀,離題偏離主題周游不定的偏離標準"
erstwhile,"古以前,往昔地,以前的,往昔的"
eschew--0,"避開,遠避,哈秋,避開"
esophagus,"食道,食管,食道"
espionage,"記,間諜,作詞根是,看,的意思,間諜活動,目的是得到政府或商業競爭者的秘密信息,間諜,偵探"
essential,"必要的,必不可少的,本質的,基本的要素,要點"
esteem--0,"尊重,尊敬,贊成的尊敬類,鞠躬表示尊敬擁抱表示愛尊敬過分使盲目崇拜贈與過分使行賄,褒貶,激怒大怒稱贊尊敬,同義,反,恥辱,尊"
estimable,"值得尊敬的,可估量的,反,聲名狼藉的,可鄙的,可尊敬的,可估計的,古可貴的,有價值的"
estimated,"估計,判斷,估計,判斷,評價"
estranged,"疏遠的,分開的,分離的"
etiquette,"禮儀,禮節,由社會習俗或權威規定的慣例"
etymology,"記,字的原形,詞源,字根,詞源,詞源學,語源,語源學"
evaporate,"使某物,蒸發,揮發,消失,使脫水,沉澱類,蒸發產生蒸汽石化產生石頭易揮發的容易揮發易溶解的容易溶解"
evasively,NotFoundAnyMeanings
exactness,"確切,精確,精密"
examining,"檢查,調查,審問"
excavated,出土
exceeding,"超越的,勝過的,非常的,極度的"
excellent,"出色的,傑出的,優等的"
excessive,"過度的,過分的,極度的"
exclusive,"排外的,排他的,專有的,清一色的,不包括的"
excursion,"名詞,遠足,短途旅行"
excursive,"記出,跑跑離題的,離題的,散漫的,隨意的,類,離題的特點是離題的反複說的特點是多余的,離題的,散漫的"
execrable,"記出,哭,能能讓你出去哭得人是極壞的,極壞的,該咒罵的,反,值得表揚的,值得稱贊的,該咒的,可憎恨的,討厭的,惡劣的,壞透的"
exemplary,"可仿效的,可做模范的,警戒性的,懲戒性的"
exempt--0,"免稅者,被免除義務者,免除的,使免除,豁免,出,拿,買"
exhausted,"疲憊不堪的,筋疲力盡的,用光的,耗盡的"
exhort--0,"力勸,勉勵,用強烈令人刺激的勸告或懇求來激勵,懇求類,力勸對建議激勵對指導,痛罵,憎恨,憎惡,詛咒,詛咒"
existence,"存在,生存,生活,生活方式"
exodus--0,"大批離去源聖經舊約中出埃及記原指以色列人離開埃及出,路順著大路出去大批離去反,流入"
expanding,"擴張,展開,張開"
expansive,"健談開朗的,指人愿交往的,開放的,可擴大,伸展的,具有膨脹的能力或趨勢的,類,侵入可擴張的反,保留的,保守的,沉默的"
expatiate,"記空間占用很大空間詳述,漫游,出,寵物出門帶著寵物漫游,源于,詳述,擴張,中間有拍地,一邊拍地一邊講,說書的詳述,回憶,諧調的,一致的,大家一起拍地,詳述,詳細地敘述或描寫,自由地到處,漫游,詳述,細說"
expertise,"專家的意見,專門技術"
explicate,"詳細說明,解釋,說明,引伸"
explosion,"爆炸,爆發,發作"
explosive,"炸藥,爆炸物,易爆發的,爆炸的,暴躁的"
expose--0,"使暴露,受到,使曝光,揭露,揭發"
expressed,表達
expressly,"明顯地,明確地,特意地,特地"
expurgate,"刪除,使純潔,在出版前刪除錯誤的,粗俗的,淫穢的東西,參,清洗,淨化,源于,純潔,類,賣主供給檢查員刪除反,無法除去,除去"
exquisite,"優美的,高雅的,精致的,劇烈的,異常的,細膩的,敏銳的"
extant--0,"現存的,未失去的或未滅絕的,反,滅絕的,錯過的,不見的,缺少的"
extortion,"敲詐,勒索,強求"
extremely,"極端地,極其,非常"
extremist,"極端主義者,過激分子,極端主義的"
extricate,"使解脫,拯救,使免除糾纏或困難,參,複雜難懂的,詭計,反,使纏上,卷入,連累,使陷入,陷入,泥潭"
extrovert,"記外,轉向外轉的人性格外向者,性格外向者,對其他人或環境感興趣的人,參,格性內向的人,外向,外傾,類,獨行俠不會一致性格外向者不會含蓄,性格外向者是外向的完美主義者是苛,性格外向者"
facade--0,"門面,正面,外觀,虛設的外表"
facile--0,"表面的,淺嘗輒止的,容易的,唾手可得的"
facsimile,"名詞,摹寫,真,本,傳真"
fail-safe,"自動防故障裝置,自動防故障裝置的,類,自動防故障裝置故障,自動防故障裝置,自動防故障裝置的"
faithless,"無信義的,靠不住的,無信仰的"
falsehood,"謊言,謬誤,缺少真實和實在,類用証據証明用謊言誹謗"
fascinate,"令人入神,使著迷,入迷"
fathom--0,"英尋,英尺,米,用于測水深,徹底了解,對別人的意思的本質的領會,類博學的容易徹底了解遺忘的容易忽視反,可測量的,無法測量的"
favorable,"稱讚的,有利的,適合的"
favorably,"順利地,親切地,好意地,適宜地"
fecund--0,"多產的,生殖力旺盛的,富饒的,膚沃的,創造力旺盛的"
fecundity,"果實多產,富饒,繁殖力,創造力反,剝奪,扎牢,扣住,閂住,拴緊,使固定,系,集中于,強加于,扣緊,抓住"
feisty--0,"雖然年老或有病在身,但仍,精力充沛的,強硬的"
ferocious,"極端的,劇烈的,激烈的,爆發性地,兇猛的,殘暴的"
fertilize,"受精,受粉,施肥參,肥沃的,能繁殖的,化學肥料,肥沃,多產,生產力,類,膠水用來密封肥料用來施肥施肥的目的是使成長免疫的目的是使抵抗"
fervently,"熱心地,熱烈地"
fervor--0,"熱誠,極大的熱情,熾熱,類,狂熱者熱情懷疑者懷疑浪費者浪費,無聊不是熱情的熱心不是冷漠的,反,冷漠,狂熱行為"
fester--0,"傷口,潰爛,化膿,使怨恨,使衰敗反,醫治,治愈"
fickle--0,"在感情等方面,變幻無常的,浮躁的,薄情的"
fictional,"想像的,虛構的,虛構的故事"
financial,"財政的,經濟的,財務的,金融的"
fixate--0,"視線移向,注視,使固定,注視,凝視,集中,眼,力"
flammable,"記火,能易燃的,易燃的,可燃的,注,易燃的,易怒的,類,易碎是容易打碎易燃的容易燃燒,易燃的,可燃性的"
flatterer,"拍馬屁的人,阿諛者,諂媚者"
flaunt--0,"誇耀,解,姑姑,系列列單字有,使害怕,誇耀,嘲笑,吹牛,憔悴的"
flinch--0,"記,英寸,一寸寸向后飛退縮,于驚奇或疼痛或從一些令人不愉快的或困難的事中,畏縮,退縮,區,偷竊不貴重的東西,污穢物,雀類,類,滑稽的使人發笑恐怖的使人畏縮,畏縮,退縮,畏首畏尾,退縮,畏縮"
flippancy,"無禮,言語輕浮尖刻反,認真嚴肅,清醒,嚴肅,莊重"
floodgate,"防洪閘,控製水流的門,水門,河流,運河的,水閘,防潮水閘"
florid--0,"鮮紅色的,氣色好的,華麗的"
flustered,"心煩意亂的,慌張的,緊張的,她似乎有點緊張"
following,"下列各項,部下,黨羽,下列的,其次的"
foment--0,"煽動,助長,壞事,類傳播使消息擴散煽動使不滿擴散,助長的煽動激勵的激勵反,抑製,約束,鎮壓,壓製"
foodstuff,"記,原料,塞滿,填充,食料,準備用來製作食物的物質,食品,糧食"
foolhardy,"有勇無謀的,莽撞不明智的"
foolishly,"愚蠢地,可笑地"
foolproof,"記,証據,防,的,檢驗,防傻瓜的,傻瓜用的,不受人的無能,錯誤,濫用而設計的簡易而不會誤用的,如傻瓜相機,絕無謬誤的,參,徒勞無功的工作,類,絕無謬誤的不會出錯密封的不會泄露,十分簡單的,十分安全的,極堅固的"
footloose,"記,寬松的,散漫自由的,自由自在的,無束縛的,任意做喜歡的事的,類,大膽的不膽小自由的不依附不熟練的不熟悉,反,非獨立的,附著的,自由自在的,到處走動的"
forage--0,"饲料,草料,搜索,花了好幾百年的時間,覓食是一輩子的事,糧草,搜尋,掠奪"
forefront,"最顯要的位置,最重要的地位"
foresight,"先见,预见,深谋远虑,瞄准器"
forgiving,"寬大的,不責難的,慈悲的"
forgotten,"的動詞過去分詞,忘記,忽略,忽視,怠慢"
formality,"拘謹,禮節,儀式,正式手續,拘泥形式"
fortitude,"在痛苦,困难前表现出的,坚毅,坚韧不拔"
fortunate,"形容詞,幸運的,僥倖的"
fossilize,"使成化石,使陳腐,變成化石,變陳腐,固定化"
foster--0,"養育,撫育,培養,鼓勵,抱,希望,養育者,鼓勵者"
fragrance,"香氣,芬香"
framework,"結構,骨架,組織,機構"
frenzy--0,"狂亂,極度激動的狀態,類痙攣是收縮加劇瘋狂是感情加劇狂暴使平靜放任禁止,反義"
frequency,"頻率,周率,頻繁,屢次"
freshness,"新鮮度,精力恢復,茶點"
frigidity,"記,寒冷的,婦女缺乏性感的,根冷,寒冷,冷淡,性冷淡,長期對性交反感,類,濕透的是特別濕非常高興的是特別高興嚴寒的是特別冷,濕透的是十分潮濕的嚴寒的是十分冷的,反,炎熱,悶熱的,寒冷,冷淡,醫性感缺失"
frivolity,"輕浮,輕薄的舉動,或言談"
frugal--0,"節約的,節儉的,不貴的類過分節儉是吝嗇的過分服從是諂媚的過分堅定是頑固的過分節儉是吝嗇的過分自信是自大的小氣是過度節儉狂妄自大是過分驕傲多管閑事是過"
frugality,"節約,節儉,類,獻媚的是過分關心吝嗇的是過分節儉,反,放蕩,肆意揮霍,揮霍,節儉,儉省"
frustrate,"挫敗,擊敗,破壞,無益的,挫敗的,挫折的"
fungicide,殺菌劑
furiously,"狂怒地,猛烈地"
furtively,"偷偷摸摸地,暗中地,反,率直坦白地,偷偷地,暗中地"
fusillade,"記,火槍手,導火索,表示進攻性能使你生病的具有進攻性的東西齊射,連發,槍炮,齊射,連發,大批火器同時連續急速地發射,參,手榴彈,長篇激烈的演說,改革運動,類,船只組成艦隊投射物,槍炮的齊射,猛射,連續射擊,齊射"
futile--0,"無用的,瑣細的,無效果的"
garrulity,"嘮叨,饒舌,反,沉默寡言,饒舌,多嘴"
gaucherie,"記讀狗吃屎,笨拙不老練的行為,方式或表情,缺少訓練的笨拙,類,文雅的不粗魯誠實的不狡詐,刺耳是難聽的聲音笨拙是難看的技巧,笨拙"
gazetteer,"記,報紙,政府的公報,學報,引申為地名詞典,注視,著發現那裡都沒去過流滿面,地名詞典,地理學的辭典或索引,地名辭典,記者,公報記者"
generally,"廣泛地,普遍地,通常,一般"
generator,"生殖者,發電機,創始人"
genial--0,"和藹的,親切的,友好的"
geniality,"溫和,舒適,親切"
genome--0,"記,基因,生基因組,染色體組,生基因組,染色體組"
genuinely,"真誠地,誠實地,真的,地"
germicide,殺菌劑
gestation,"妊娠,妊娠期,孕育,醞釀"
gladiator,"記源于,古羅馬軍隊的短劍,高興,病,人一生病就高興的人角斗士,就是,神鬼戰士,啦,因為不用殊死搏斗了,職業,角斗士,或在古羅馬圓形大劇場裡的奴隸被培訓與另一個人或野獸進行殊死搏斗以供公共消遣,類,律師在法庭上爭辯角斗士在競技場上打斗,古羅馬公開表演的格斗者,通常都是奴隸和俘虜,精于辯論和格斗的人,職業拳擊者"
gloomiest,NotFoundAnyMeanings
gloomy--0,"幽暗的,令人沮喪的,憂鬱的,沒有希望的"
glutinous,"記源于,膠,膠水,而不是,粘的,膠狀的,反,無粘性的,粘性的"
goldbrick,"記金,磚金磚都不撿,真懶,稱病,以義務或責任,偷懶,逃避勤務的士兵,開小差的人,類,規避避免回答問題稱病避免從事工作,稱病,欺詐,偷懶,假金磚,懶漢,贗品"
governing,"控制,操縱,調節"
gradation,"逐漸的變化,階段,程度"
gradually,"逐漸的,逐步的,的衍生的副詞,副詞,逐步地,漸漸地"
graduated,"按等級,高度,困難等,分的"
grassland,"名詞,牧草地"
gratitude,"名詞,感激之情,感恩,感謝"
greatness,"大,巨大,高尚,偉大"
grievance,"不平,委屈,不滿,抱怨,牢騷"
grotesque,"奇形怪狀的,奇異,奇形怪狀的人,或物,圖案等,奇異風格"
grudge--0,"勉強給予,不情願做,怨恨,怨恨,嫌隙,妒忌"
grumbling,牢騷
guarantee,"擔保,抵押品,保証書,保証,擔保"
guileless,"毫不狡詐的,天真無邪的,反,操作的,耍手段的,不狡詐的,坦率的,正直的"
gustation,"記原指美味和個人癖好,品嘗能力,味覺,參,愛好,高興,嘗味的,味覺的,類,嗅覺辨別氣味味覺辨別味道,嘗味,味覺"
gustatory,"有關味覺的,品嘗的"
habituate,"使習慣於,使熟習於"
haltingly,"遲疑不決地,吞吞吐吐地"
hamper--0,"食盒,食籃,阻礙物,阻礙,使困累,妨礙"
hankering,"記讀喊渴手裡拿著,耳環,渴望著老婆,老公從美國回來,喊得都渴了,讀漢克斯大家都渴望見到湯姆漢克斯,渴望,熱望,反,憎惡,討厭,不寄希望,渴望"
happening,"事件,偶然發生的事"
happiness,"幸福,高兴,恰当,合适"
harrow--0,"記讀肉,只有使遭受巨大的悲傷和折磨,才能有特別的肉,耙,用于打碎攤平犁過的泥土的農具,使遭受巨大的悲傷和折磨,區,使神聖,連都了,洞,窟窿,參,痛心的,悲慘的,反,減輕,緩和,平息,耙,地,使精神痛苦,耙掘,傷害,使苦惱,被耙松"
harrowing,"十分痛苦的,令人害怕的"
harshness,"粗糙,冬,嚴酷,嚴厲"
hatefully,NotFoundAnyMeanings
haughtily,NotFoundAnyMeanings
healthful,"有益健康的,使人健康的,衛生的"
hectic--0,"臉上發紅,發熱的,消耗熱的,肺病的臉紅,消耗熱患者"
herald--0,"使者,傳令官,先驅,預報,宣佈,傳達,歡呼"
hesitance,"躊躇,猶豫,類,沖動的不猶豫無法鎮壓的不順從的吝嗇的揮霍,猶豫是一種不愿意狂妄自大是一種驕傲,反,樂意,敏捷,刺激,沖動,躊躇,猶豫"
hibernate,"某些動物冬眠,這種龜每年會在淺地洞裡冬眠六個月"
hierarchy,"階層,等級製度參,僧侶的,神廟,聖地,類,梯隊層次"
hinder--0,"后面的,阻礙,打擾"
histology,組織學研究細胞之學科
homily--0,"說教,冗長乏味的道德講演或訓誡,講解聖經的,布道,類,寓言是一種故事說教是一種演講,宗尤指講解聖經的布道,冗長乏味的說教"
hubris--0,"過分自傲,盛氣凌人,自以為是類,狂妄是過分驕傲奉承是過分贊揚吝嗇是過分節儉的狂妄是過分驕傲猶豫是過分不愿意反,謙卑"
humankind,"人類,總稱"
humble--0,"卑下的,謙遜的,粗陋的,使,卑下,挫,貶抑"
humiliate,"使丟臉,使蒙羞,屈辱"
hurricane,"颶風,颶風般的事物,引起動盪的事物"
husbandry,"節約,農業,家禽飼養業類節約不浪費敏捷不延遲反,浪費,揮霍,廢物,浪費"
iconodasm,破除迷信
identical,"同一的,完全相同的,相等的,有同一原因的,有同一來源的"
ignorance,"名詞,無知,不學無術,愚昧"
illegally,"非法地,違法地"
illogical,"不合邏輯的,無章法的"
imaginary,"想象中的,假想的,虛構的,幻想的,虛數的"
imbibe--0,"飲,喝,吸收,接受思想,知識等"
imbroglio,"混亂複雜的局面,尷尬的處境,糾葛,一團糟,複雜的情節"
imitating,"模仿,效法,冒充"
imitation,"模仿,效法,冒充,贗品,仿造物"
immediate,"直接的,最接近的,緊靠著的,立即的,直覺的"
immensity,"無限,廣大,巨大"
immune--0,"免疫的,免除的,不受影響的免疫者"
impart--0,"分給,給予,傳授,傳達"
impatient,"不耐煩的,急躁的,忍受不了的,急欲的,急切的"
impede--0,"妨礙,拖延或阻擋,的進程,參,蜈蚣,腳病學,妨礙,口吃,類甜言蜜語為了哄騙障礙為了阻礙反,援助,幫助,教唆,支持"
implement,"工具,器具,實現,使生效,執行"
implicate,"使牽連其中,含意,暗示,包含的東西"
impolitic,"失策的,不得當的,不審慎的,沒見識的"
import--0,"進口,輸入,意味,表明,對,重要,有關系輸入品,進口貨,輸入,進口"
important,"重要的,重大的,大量的,許多的,有權力的,有地位的"
importune,"強求,胡攪蠻纏用迫切的,重複的,持續的要求使煩惱,參,纏擾不休的,胡攪蠻纏的,類強求是強製請求刺探是強製詢問,不緩和的,不安靜的"
impose--0,"課征,強迫加於,以,欺騙,利用,欺騙,施影響"
impressed,"被打動的,被感動的,參,容易受感動的,易受影響的,類,內疚導致道歉被感動導致稱贊"
improvise,"即興創作,即興表演,記法,不,前,看,沒有預先看過"
imprudent,"不謹慎的,輕率的,魯莽的,反"
impudence,"厚臉皮,無恥,鹵莽的行為"
impugn--0,"對,表示懷疑,提出異議"
impulsive,"沖動的,受感情驅使的,任性的"
inability,"名詞,無能,無力"
inanimate,"記,鼓舞,生氣勃勃的,源于,動物,牲畜,無生命的,無生氣的,參,意見一致的,想法一致的,類,短暫的不是持久的無生命的不是活的,死氣沉沉的,沒生命的,單調的"
incapable,"記,有能力的,無能力,不能勝任的,無能的,無能力的,不能的"
incarnate,"體現,使具體化,使實體化,化身的,實體化的,肉色的,深紅色的"
inception,"開始,開端,起初,使拿開始拿"
incessant,"不停地,連續的,連續不斷的,類,反,偶爾發生的"
incidence,"影響範圍,發生,影響,入射,傾角"
inclement,"天氣,嚴酷的,狂風暴雨的,嚴厲的,冷酷無情的,類,嚴峻的對嚴酷煩惱對煩惱,嚴酷導致逃避,反,芳香的,溫和的,溫和的,溫柔的"
including,"包含,的現在分詞,介系詞,包括"
inclusive,"包括的,包罗广泛的,包括,的,一切开支包括在内的,语言使用上不分男女的"
incorrect,"不正確的,錯誤的"
incubator,"孵育器,可以控製溫度和濕度,用于細菌培養,人工孵卵等,早產嬰兒保育箱,溫床,鼓勵新想法產生發展的地方,類溫室中培養植物保育箱中培養嬰兒"
inculcate,"反複灌輸,諄諄教誨,通過不斷的說明或重複來教育別人,參,培養,耕作"
inculpate,"記,使,錯,罪,連累,某人,受罪,連累,某人,受罪,控告,參,犯人,反,証明無罪,宣布免除,開脫,使,有罪,控告"
indecison,無法決定
indelible,"不能消除的,不能拭除的,難忘的"
indemnity,"名,保證物,賠償物,賠款,補償,保證"
indenture,"規定一方須為另一方服務一定時期的,契約,合同"
indicated,"表明的,指示"
indicator,"儀器上顯示溫度,壓力,耗油量等的,指標,指示器,記錄器,車輛上的,轉彎指示燈指示物,指示者"
indict--0,"法控告,起诉,告发"
indigence,"貧乏,窮困"
indignity,"侮辱,輕蔑,記,不,尊嚴,不被尊重,侮辱"
indolence,"懶惰,不積極,惰性,懶惰的"
induce--0,"導致,誘導,歸納出"
indulging,"沈迷於,滿足,慾望等"
ineffable,"無法形容的,說不出的,不應說出的,避諱的"
infantile,"貶,幼稚的,孩子氣的,尤指大孩子或成人"
infatuate,"使迷戀,使糊塗,著迷的迷戀者"
infection,"傳染,影響,傳染病"
inference,"推論,推理,推斷推斷結果,結論"
infirmity,"虛弱,病身,疾病"
inflaming,NotFoundAnyMeanings
influence,"影響,感化,勢力,權勢,有影響的人,影響,感化"
inform--0,"告訴,通知,使充滿,告發,告密"
infuriate,"灌輸,使,充滿,鼓舞"
infuse--0,"注入,泡出味道,鼓舞,泡,注"
ingest--0,"咽下,吞下參,擁塞,充血,消化,反,驅逐,發射,吐出,嘔吐,排泄,燃燒"
ingrained,"記原指深嵌入紡織品纖維的,進入,谷物,木頭的紋理,入木三分,根深蒂固的,偏見,習慣等,根深蒂固的,反,容易改變的,外在的,外來的,徹底的,根深蒂固的,生染的"
inhibitor,"抑製劑,可減緩或停止化學反應的物質,反,催化劑,化抑制劑,抑制者"
injection,"注射,注射劑,針劑"
injurious,"有害的,致傷的,誹謗的,中傷的"
injustice,"不公平,不公平的行為"
innate--0,"與生俱來的,天生的,固有的,字根,出生"
innermost,"內心的,秘密的,最深處的"
innervate,"使受神经支配,使神经分布于,刺激活动"
insensate,"無知覺生命的,愚鈍不敏的"
insincere,"不誠實的,無誠意的,偽善的"
insinuate,"記,進入,彎曲,繞彎說出來,含沙射影,旁敲側擊地說,含沙射影地說,逐漸陰險地輸入某種思想,參,蜿蜒的,不老實的,類,滲透是不知不覺進入含沙射影是不知不覺說出,使逐步而巧妙地取得,使迂回地潛入,或擠入,使慢慢滋長,含沙射影地說"
insistent,"堅持的,持續的,引人注目的"
insolence,"傲慢,自大,自大的,無禮的,記,不,收斂"
insoluble,"記,可溶解的,根,松開,在水中松開,可溶解的,不溶的,不能解決的,類,有浮力的無法下沉不能溶解的無法溶解,不能溶解的,不能解決的"
inspiring,"激勵人心的,啟發靈感的"
institute,"動詞,創立,設立,開始,名詞,專科性的,學校,大學,研究所"
insulting,"侮辱性的,欺負人的"
insurgent,"叛亂的,起來反抗當局或當權的政府的,叛亂分子,政黨內部的,反對派,類,吝嗇鬼的特點是吝嗇反叛者特點是反叛"
integrate,"綜合,使結合,使成整體,成一體,完整的,完全的"
intensely,"強烈地,極度強烈地,劇烈地,猛烈地熱情地,熱切地緊張地,認真地"
intensify,"動詞,加強,增強"
intensity,"強烈,劇烈,感情的,強烈程度"
intention,"意圖,意向,打算"
intercede,"說好話,代為求情,在裡面走說好話讓他能在裡面走"
interdict,"記原指一項基督教禁令將某人或某地排除在大部分聖禮之外,並不準以基督教形式安葬,中間,說在內部說出的禁令,官方禁止,官方的或法律上的,禁止,阻斷,封鎖,以火力切斷或毀壞交通線以阻止敵人前進,反,批準,阻斷"
interests,"興趣,關注,愛好"
interfere,"干涉,幹預,妨礙,打擾,抵觸,沖突"
interlock,"使,連結,使,聯鎖聯鎖,連結"
interlude,"記,在中間,玩耍,在玩鬧之間,休息,幕間休息,幕間喜劇,在各幕之間表演的滑稽短劇,間歇,兩段時期中間之時間,間隔的時間,戲劇或歌劇兩幕間,聖詩等兩段之間之間歇"
interpose,"插入,介於,二者間,干涉,插嘴,幹預"
interpret,"動詞,解釋"
interrupt,"中斷,妨礙,插嘴,打斷中斷"
intervals,"間隔,區間"
intricacy,"錯綜,複雜,紛亂,記,在裡面,詭計,詭計是很,複雜難懂的,參,複雜的,錯綜的"
introduce,"帶領,輸入,傳入,介紹,作為的開頭"
intruding,"侵入,闖入"
intuition,"直覺,由直覺獲知的知識"
intuitive,"直覺的,憑直覺的,憑直覺的方法判斷"
invention,"發明創造,發明才能,創造力,發現,找到"
inventive,"善於發明的,有創造力的,發明的"
inventory,"詳細目錄,存貨清單,列入詳細目錄,清點存貨"
investing,熔模鑄造
invoke--0,"援引,引起,求助,请求,乞灵于,计算机,调用"
involving,"包括,使,陷於"
irregular,"不合規格之物,不規則的,不整齊的,不合法的"
irritable,"易怒的,器官,身體等,敏感的"
