ad-lib,"臨時穿插,信口說出,即興講演"
avant-garde,藝術的先鋒派最先創造並應用某一新技術的團體
bad-tempered,脾氣不好的
broad-minded,"包容的,反義"
by-product,"副產品,旁邊,產品"
cheap-looking,便宜的
close-minded,"思想封閉,或保守,的,對,報有成見的"
coin-like,像硬幣
cold-blooded,"無情的,殘酷的,冷血的,例,蛇是冷血動物,我是一個冷血殺手,冷漠"
decision-making,"决策,决策的"
deep-rooted,根深蒂固
deep-seated,"根深蒂固的,深層的"
double-dealing,雙重交易
down-to-earth,"記朱茵小姐從如來佛的蠟燭中,變成了現實中人,和小周感受了柱香的心靈碰撞,現實的,可感覺到的,實際的"
fail-safe,"自動防故障裝置,自動防故障裝置的,類,自動防故障裝置故障,自動防故障裝置,自動防故障裝置的"
far-reaching,"影響深遠的,波及廣泛的,這些新法律影響深遠,將惠及所有在職母親"
flesh-colored,肉色的
four-poster,"記,柱,郵件,崗位,海報,招貼,四柱床,有很高的為支持床的華蓋或頂棚的柱的床,類,四柱床是頂棚可拆床敞篷車是頂棚可拆車,有四根帳杆的臥床"
full-blown,"記,的過去分詞,喘氣的,開花的,鮮花,盛開的,完全成熟的,反,初始的,盛開的,張滿的,成熟的"
full-bodied,"味道等充足強烈,濃郁的,聲音,圓潤洪亮而熱情的,參,羽毛生齊的,發育完全的,窩邊,類,味道濃郁的聲音洪亮的,醇厚的,魁梧的,濃郁的"
full-fledged,"经过充分训练的,发展成熟的,正,式的,完全合格的"
good-mannered,禮貌的
good-natured,"親切的,不易發脾氣的"
half-baked,"半生不熟的,不成熟的,未經過深思熟慮的,反,深思熟慮的,半生不熟的,未完成的,不完整的"
ham-handed,"記,火腿,手手長得象火腿笨手笨腳的,笨手笨腳的,反,敏捷熟練的,熟練的,笨手笨腳的"
hard-bitten,"記,咬,很難咬的頑強的,通過經歷而變得,不屈的,頑強的,參,強硬手段,硬紙板,反,嫩的,軟弱的,原指狠狠地咬,頑強的,堅韌不拔的,不屈服的"
heavy-handedness,"笨手笨腳,反,精密技巧,策略手段"
high-,"高,高度,高處,高的,高級的,主要的,高尚的,高原的,高音的,昂貴的,傲慢的"
high-flown,"語言,夸張的,華而不實的,高尚的,崇高的,參,專橫霸道的,十分敏感的,果敢剛毅的,清高的,精彩場面,最顯著部分,使顯著,高尚的,傲慢的,頗具野心的,夸大的,夸張的"
high-minded,"崇高的,高尚的"
high-ranking,等級高的
high-spirited,"有生氣的,活潑的"
ill-bred,"沒有教養的,沒有禮貌的"
ill-humored,"中壞脾氣的,記,反,幽默的,反幽默的壞脾氣的"
ill-mannered,態度惡劣的
know-how,"名詞,技術,實際知識,竅門"
long-term,"經過長時間的,長期的"
mix-,"混合物,混亂,糊塗,使混合,弄混,使結合,混淆,相混合,交往,參與"
moth-eaten,過時的
narrow-minded,"心志偏狹的,有偏見的,小氣的"
narrow-mindedness,狹的
near-sighted,近視的
off-key,"不尋常的,不合適的"
off-topic,無關
old-fashioned,"形容詞,舊式的,過時的"
one-by-one,一個接著一個
one-sided,"形容詞,片面的,單方面的"
open-minded,"記,開,思想,思想開明的,思想開明的,虛心接受新事物,新觀念和其它人意見的,虛心的,思想開明的"
other-directed,"記,別人,指揮,別人可以指揮你的,受人支配的,缺少自主性的,受人支配的,缺少自主性的"
pell-mell,"混亂地,亂七八遭地"
pre-empt,"先佔有,先取得,事先,拿"
rosy-red,玫瑰紅
self-abasement,"自卑,自謙,記,降低地位"
self-assurance,自我保證
self-assured,"有自信的,記自我確認很有自信"
self-control,自我控制
self-denial,"禁欲苦行,禁欲的,禁慾的,美學的,祖宗,祖先,祖先的,古代的,簡樸的"
self-discipline,"自律,自我修養,自我訓練"
self-disciplined,"形,自律的,自我,紀律有,的,形容詞有自我紀律的"
self-evident,"不證自明的,不言而喻的,顯然的,對人類來說一些顯而易見的解決辦法常常是電腦所不能做到的"
self-governing,自治
self-importance,"認為自己最重要,自大,驕傲,自滿,自負,浮誇的,自負,傲慢,虛榮,自負,愛虛榮的,自負的,空虛的"
self-reliance,"自力更生,依靠自己"
self-satisfaction,"記,滿意,自滿,類,打扮表示自滿怒火表示憤怒,自滿,自傲"
self-satisfied,自滿的
self-styled,"自稱的,未經檢驗的"
self-willed,自願的
serious-looking,認真看
short-lived,"活得很短的,短命的,不長的"
side-by-side,"肩並肩,一個挨一個"
simple-minded,頭腦簡單的
so-called,"所謂的,號稱的,含貶義"
speed-up,促進某事的發生
sweet-smelling,甜味
thick-skinned,"冷漠無情的,不顧及他人感受的"
three-dimensional,"立體的,三度的,有立體感的"
topsy-turvy,"顛倒地,相反地,亂七八糟地,顛倒的,相反的,亂七八糟的顛倒,混亂,使顛倒,使混亂"
well-around,周全
well-being,"名詞,康樂,安康,福利"
well-chosen,精心挑選
well-groomed,非常整潔的
well-known,"眾所周知的,有名的,清楚明白的"
well-lit,光線充足的
well-suited,"適當的,便利的"
well-timed,適時的
wide-ranging,廣泛的
willy-nilly,"不管願意不願意,不容分辨的,猶豫不決的,不幹"
worn-out,"磨破的,磨損的,穿舊的,疲憊不堪的"